CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,email,Phone_number,Country,Days_Between,purchase_missing
0,Ankit,Female,36.0,Mumbai,2024-12-31,2025-08-13,2110.9200473806536,2.0,nan,,Canada,225.0,1
C2,Ravi,Female,38.0,Kolkata,,,3550.4488330251743,5.0,nan,,Canada,,1
C4,Ankit,Male,44.0,Kolkata,,2025-09-13,2725.4714158215656,5.0,nan,9316267914,USA,,1
5,Rahul,Male,43.0,Ahmedabad,2025-07-09,,1244.790429196007,5.0,nan,9234603292,USA,,1
C6,Amit,Unknown,64.0,Mumbai,,,813.830639266643,5.0,nan,,UK,,1
7,Kiran,Unknown,46.0,Pune,,,5746.188148156205,5.0,nan,,Australia,,1
C9,Simran,Female,41.0,Pune,,,4812.520742944731,5.0,nan,,India,,1
10,Ankit,Unknown,24.0,Chennai,,,2347.5059142866926,5.0,nan,,Nan,,1
C12,Ravi,Male,45.0,Hyderabad,2025-05-29,2021-03-20,2712.5,3.0,nan,,UK,-1531.0,0
13,Rahul,Male,41.0,Bangalore,,,2822.0,5.0,user12@mail.com,,Australia,,0
14,Ravi,Unknown,45.0,Mumbai,2024-12-15,2022-03-26,3809.9924526153018,1.0,nan,,USA,-995.0,1
15,Kiran,Unknown,62.0,Unknown,2022-10-16,2025-12-04,3850.4763107843223,5.0,nan,9610475090,USA,1145.0,1
15,Unknown,Female,30.0,Pune,,,2134.231062043726,5.0,nan,,Canada,,1
17,Pooja,Male,40.0,Pune,2021-12-18,2022-11-11,509.03,5.0,nan,,India,328.0,0
18,Priya,Female,41.0,Ahmedabad,,2021-10-10,1582.43,5.0,nan,,UK,,0
19,Sneha,Unknown,38.0,Pune,2023-01-07,,3701.0935500843807,5.0,nan,,Nan,,1
20,Simran,Male,40.0,Pune,2021-07-21,2024-07-06,938.55,5.0,nan,9533545457,Canada,1081.0,0
C21,Unknown,Female,26.0,Mumbai,2021-06-28,,2018.5409512379722,2.0,nan,9720985722,USA,,1
C22,Ravi,Male,45.0,Kolkata,,,1796.57912091469,5.0,user21@mail.com,9164267579,Nan,,1
23,Rahul,Male,47.0,Bangalore,2022-05-28,,715.4363075183246,5.0,nan,,Australia,,1
24,Ankit,Female,45.0,Hyderabad,,,2988.465226708482,4.0,nan,,Australia,,1
26,Simran,Female,43.0,Kolkata,2025-07-17,2020-09-05,1250.98,5.0,nan,,UK,-1776.0,0
26,Kiran,Unknown,43.0,Kolkata,2024-05-28,2020-11-14,4772.57,4.0,nan,,UK,-1291.0,0
C28,Neha,Female,45.0,Ahmedabad,,2022-05-30,84.02,2.0,nan,9693394106,Australia,,0
C29,Unknown,Unknown,47.0,Hyderabad,,,432.9135746051727,2.0,user28@mail.com,,Nan,,1
31,Rahul,Female,45.0,Unknown,,2024-05-09,41.61,5.0,nan,,Canada,,0
